anlaeg,ejer,adresse,type,lat,lon,cvr,virk_navn,pno,branche,match_source,afregning_2023_kr,prod_opgrad_gj,prod_el_gj
H.H.R.M. Energi og Landbrug ApS (Kiddegård Biogas),H.H.R.M. Energi og Landbrug ApS (Kiddegård Biogas),"Kiddegårdsvej 3, 7300 Jelling",Landbrug,55.75834239,9.36303929,30230272,Kiddegård Møllesyd 63-917 I/S v/Knud Arne Siddle og Susan Ann Siddle,1013037031.0,Produktion af elektricitet,punit_address,-2919979.32,,19859.38530731251
Egen produktion,"Snertinge, Særslev, Føllenslev Energiselskab Am.b.a","Kirkemosesvej 17, 4591 Føllenslev",,,,44292548,Ved Egen,,Anden undervisning i.a.n.,name,-1895822.5600000003,,12893.882684735518
Ribe Biogas A/S,Nature Energy A/S,"Koldingvej 19, 6760 Ribe",Landbrug,55.36068762,8.78888754,15397977,Familie & Samfund Kalvslund Aftenskole,1000916719.0,Andre skoler med almendannende voksenundervisning,punit_address,-39214611.26,500586.55082176847,
Thorsø Biogasanlæg ApS,Infranode Thorsø Biogasanlæg ApS,"Kongensbrovej 10, 8881 Thorsø",,56.31323834,9.76798705,15270586,THORSØ MILJØ- OG BIOGASANLÆG AMBA,1000893094.0,"Agenturhandel med landbrugsråvarer, levende dyr, tekstilråvarer og halvfabrikata",punit_address,-16206063.86,239918.30018321256,3971.468352383999
Egenprocent,Andekærgaard Biogas ApS,"Kragekærvej 12, 5700 Svendborg",,54.98006066,10.55484208,28428138,Niels Møller Jensen,1011239486.0,Planteformering,punit_address,-16773589.29,191917.48591064647,
GreenLab Skive Biogas ApS,GreenLab Skive Biogas ApS,"Kåstrupvej 22, 7860 Spøttrup",Landbrug,56.64551149,8.97790875,33599056,KLIMAFONDEN SKIVE,1016805250.0,Administrations- og kontorserviceaktiviteter,punit_address,,829621.5121498337,
Zastrow Bioenergi ApS,Zastrow Bioenergi ApS,"Langehede 71A, 5471 Søndersø",Landbrug,55.46782047,10.27868655,17594206,LENE VOLDGAARD JENSEN,1010624289.0,Udlejning af erhvervsejendomme,punit_address,-12513972.38,143180.45304573438,
Sønderjysk Biogas Bevtoft A/S,Sønderjysk Biogas Bevtoft A/S,"Langvej 65, 65 41 Bevtoft",Landbrug,,,36704632,Sønderjysk Biogas Bevtoft A/S,,Produktion af gas,name,-75663999.31,865720.7622975623,
Nature Energy Midtfyn A/S,Nature Energy Midtfyn A/S,"Lervangsvej 2, 5750 Ringe",Landbrug,55.25433258,10.35250117,28305141,N.C. Miljø A/S,1021263695.0,Genbrug af sorterede materialer,punit_address,-70293116.34,804269.0156066036,
Nature Energy Korskro A/S,Nature Energy Korskro A/S,"Lunde Hovedvej 51, 6705 Esbjerg Ø",Landbrug,55.51875611,8.59189812,34614091,Shell Korskro Biogas,1032396492.0,Produktion af gas,punit_address,-68373344.68,918559.0582922389,
