OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
12190,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,19-4,18.63,4,0,77.61,114.63000000000001,147.70003865481254,,,
12196,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,192.24,2,Vårbyg,1,,396-82,15.996,4,0,77.61,114.63000000000001,147.70003865481254,,,
173895,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,19-151,150.71,2,0,133.91,108.13,80.74826375924128,,,
173902,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,1-172,37.776,4,0,133.91,108.13,80.74826375924128,,,
173909,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,756-2,13.89,4,0,133.91,108.13,80.74826375924128,,,
173910,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,579-2,1.8,4,0,133.91,108.13,80.74826375924128,,,
173915,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,396-77,100.434,2,0,133.91,108.13,80.74826375924128,,,
173953,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,632-1,19.57,2,0,133.91,108.13,80.74826375924128,,,
173956,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,18-549,159.975,4,0,133.91,108.13,80.74826375924128,,,
173989,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,396-82,4.281,4,0,133.91,108.13,80.74826375924128,,,
174011,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,364-59,5.0,2,0,133.91,108.13,80.74826375924128,,,
